atom,x,y,z
O, 4.64287,-6.88970,12.26685
O,-2.19093,10.82860,11.57685
O,-3.38093,11.33360,11.65685
O,-12.90153, 7.38040, 5.43685
O,-13.33093, 6.17160, 5.23685
O,-11.42003, 2.12350,-11.74315
O,-12.24053, 1.42660,-11.00315
O,-10.91313,-8.06320, 5.77685
O,-10.88263,-8.85927, 6.81685
O,-11.14170,-10.29310, 0.13685
O,-11.65920,-11.44210, 0.14685
O,-6.99153,-1.92340,11.08685
O,-6.68673,-3.16640,11.24685
O,-8.28393,-13.00120,-6.12315
O,-9.58493,-13.30710,-6.14315
O, 9.25287,-11.64500, 4.33685
O, 8.48387,-12.35330, 5.19685
O,12.54427,11.93280,-10.26315
O,13.51797,11.15630,-9.82315
O,-8.27613,-9.29040,13.05685
O,-9.08713,-8.29140,12.92685
O,-0.73624,-1.05993, 1.00964
O,-1.38874,-0.33493, 1.95964
O, 5.58216, 3.99557, 2.96964
O, 6.38056, 4.71557, 3.62964
O,-4.48344, 0.04219,-4.98036
O,-5.63244, 0.19195,-5.57036
O, 8.33256, 4.19187,-2.20036
O, 9.14256, 4.81797,-1.37036
O, 2.50056,-6.77203, 0.99964
O, 3.47256,-7.56793, 1.49964
O, 2.34056,-4.09293,-6.20036
O, 3.04826,-4.61223,-5.28036
O, 6.39646,-1.05143, 5.59964
O, 7.35096,-0.35743, 6.12964
O, 8.20806,-3.92243,-2.26036
O, 8.15086,-2.76143,-2.89036
O,-5.28144,-3.68743, 0.91964
O,-4.00144,-3.47943, 1.29964
O, 4.57356, 3.97657,-8.21036
O, 4.32056, 4.18157,-6.93036
O, 1.22616, 8.20057,-6.76036
O, 0.50876, 8.22957,-5.60036
O,-4.42364, 5.40587, 1.57964
O,-5.51974, 4.65627, 1.42964
O, 0.18156, 3.27807, 8.41964
O, 0.93456, 2.57197, 9.28964
O, 1.71986,-6.39353, 5.41964
O, 1.14596,-5.18753, 5.30964
O, 8.98216,-5.87743, 2.79964
O, 7.93756,-5.23443, 2.24964
O,10.46766,-3.61053,-9.50036
O,11.13196,-3.64503,-8.35036
O,-1.41844, 8.87604, 4.07964
O,-2.71144, 8.94641, 3.99964
O,-4.63944, 3.66957,-11.93036
O,-5.13844, 4.72657,-11.36036
O, 6.16676,-0.33913,13.78964
O, 4.89556,-0.62723,14.06964
O,-1.37934,-11.65352,-3.19036
O,-0.07694,-11.80833,-2.97036
O,-11.46444, 0.93767, 1.34964
O,-12.77044, 0.98577, 1.39964
O, 9.99318, 9.29367,-2.69036
O,10.04880, 9.39117,-1.36036
O,-6.16278, 8.83217,-2.15036
O,-6.74359, 9.92837,-1.86036
O, 8.35246,-10.27943,-5.26036
O, 8.49596,-11.14053,-4.31036
O, 4.93326,12.11787, 3.44964
O, 5.33266,11.00677, 3.96964
O,-2.18454,-6.66343, 8.45964
O,-2.76514,-5.60343, 8.91964
O,-3.79284,-2.71573,12.80964
O,-2.87194,-3.37673,13.57964
O,-1.41894,13.64257,-7.89036
O,-2.49114,14.06377,-8.52036
O,-9.19714,-3.65333, 4.78964
O,-8.60174,-2.91735, 5.66964
O,11.08836, 6.35557,-10.81036
O,10.96646, 6.60257,-9.51036
O, 6.38836,10.91957, 8.67964
O, 7.20866,11.92727, 8.84964
O,-9.12094, 8.64477,-6.92036
O,-8.50994, 9.54657,-6.23036
O,-9.97398,-9.29893,-2.92036
O,-9.93767,-9.78263,-1.75036
O,-7.04604,-11.16643, 4.16964
O,-6.54964,-11.87543, 5.17964
O, 7.10846,12.80467,-8.77036
O, 6.36266,11.87017,-8.22036
O,-10.82990, 1.76507,13.68964
O,-11.19689, 1.19397,14.80964
O,-8.92244, 6.35457, 6.95964
O,-8.67244, 5.21057, 6.35964
O,10.51615,-7.39733, 8.52964
O, 9.79875,-8.47343, 8.60964
O,12.59756,13.46517, 3.14964
O,11.55486,14.15437, 3.53964
O,-9.17574,-5.07033,-10.05036
O,-8.82714,-3.93243,-9.53036
O,-6.54673,10.61057,12.61964
O,-6.99054,10.60957,13.87964
O,-1.59694,-12.23873,10.42964
O,-1.52174,-13.56113,10.29964
O,-9.67604,-10.57253,-10.21036
O,-10.76194,-10.57873,-9.46036
O,-0.12445, 0.74687, 0.27447
O,-0.92105, 1.81827, 0.33447
O,-2.00055,-3.61713,-4.21553
O,-2.37125,-2.71153,-3.31553
O, 4.40105, 3.98641,-3.41553
O, 4.40394, 5.33578,-3.57553
O, 6.56435,-4.98163,-5.36553
O, 5.93235,-5.67663,-4.40553
O, 6.87665,-1.03473, 5.08447
O, 7.17565,-1.61763, 6.19447
O, 6.30646,-6.49593, 1.08447
O, 6.09411,-5.47113, 1.83447
O,-2.31505,-6.78763,-1.91553
O,-2.97005,-6.08563,-0.96553
O, 4.83225,-8.52133, 4.15447
O, 5.33845,-7.58463, 4.97447
O,-0.01415,-0.05533,-9.03553
O, 0.38405,-0.32733,-7.85553
O,-2.36085,-3.95063, 7.68447
O,-3.63365,-4.31263, 7.97447
O,-1.49605, 1.98027, 7.32447
O,-2.27005, 1.39507, 8.29447
O,-0.56565, 6.54777,-4.86553
O,-0.85965, 7.73587,-4.43553
O,-7.71365,-3.17039,-3.74553
O,-8.00465,-4.43429,-3.59553
O,11.09721, 3.32037,-3.56553
O, 9.97493, 3.46537,-2.92553
O,-1.82595, 9.52757, 1.92447
O,-2.47255,10.21897, 2.80447
O, 8.45475, 9.03427, 3.15447
O, 8.51825, 8.80657, 4.44447
O, 6.01903,-0.10723,-10.90553
O, 7.03474, 0.25577,-10.10553
O,10.45595,-6.87633,-6.25553
O,11.48595,-7.42123,-5.75553
O,-11.36247, 0.13387,-0.19553
O,-12.28459, 0.11007, 0.81447
O, 2.26835,-6.15703,-11.37553
O, 1.55435,-5.92853,-10.25553
O,-6.93065, 4.86725, 6.57447
O,-7.34275, 5.97437, 7.10447
O, 5.90155,11.25013,-4.44553
O, 4.95745,11.09705,-3.60553
O,-6.12865,-11.53663, 3.46447
O,-6.43265,-12.09863, 4.61447
O, 1.33895, 7.13097, 7.37447
O, 2.33765, 7.60077, 6.68447
O,-5.92625,-4.88663,-10.93553
O,-5.15715,-5.68863,-11.62553
O, 3.21045, 4.60427,10.52447
O, 2.33325, 5.11047,11.32447
O,-8.15165,-4.13793, 5.50447
O,-8.57465,-3.06113, 6.08447
O,-8.91395, 5.76747, 1.16447
O,-8.36785, 6.90497, 1.64447
O, 7.64035,-10.09717, 7.80447
O, 8.56635,-9.22725, 7.55447
O,-11.07935,-6.93373, 0.02447
O,-10.83905,-5.86633, 0.72447
O, 8.09832, 5.35237,-10.48553
O, 7.00993, 5.96617,-10.00553
O,-5.63125, 7.14727,-7.71553
O,-6.42025, 6.29637,-7.21553
O,-1.59965,-8.77643,12.03447
O,-1.27965,-8.15323,13.12447
O,13.31235, 1.11837, 9.42447
O,14.14735, 0.78537,10.43447
O, 0.12145,12.07737,-10.39553
O,-1.06405,11.78937,-10.93553
O,-6.99865,11.48437,-3.10553
O,-5.72975,10.92137,-2.91553
O,11.80565,12.26477, 1.59447
