atom,x,y,z
O, 3.42932, 9.31194, 2.55500
O, 7.26032,-3.64080, 6.18500
O, 8.39332,-3.87870, 6.73500
O,-11.19771,-2.95620, 2.39500
O,-11.41412,-3.16370, 3.65500
O,-5.82298,-1.14540, 8.68500
O,-6.03568,-2.15500, 7.85500
O, 8.83332, 0.26640,-0.87500
O, 8.84152,-0.90640,-1.51500
O, 2.23672,-1.54510,12.07500
O, 3.49542,-1.19110,12.30500
O,-0.99478,-0.72790,-8.10500
O, 0.28392,-0.49070,-8.32500
O,-4.11768,10.03347, 2.14500
O,-5.33918, 9.73588, 2.46500
O,-5.00658,-10.20372,-1.59500
O,-4.56748,-10.62553,-0.43500
O, 0.29302, 6.44450, 8.03500
O, 0.07562, 5.45990, 8.87500
O,10.42732,-7.43060, 2.42500
O,10.49632,-7.88180, 3.59500
O, 4.89012, 4.69300,11.22500
O, 5.08152, 4.86570,12.46500
O, 1.08428, 8.30140,-6.63500
O, 1.47979, 8.45250,-5.37500
O,-4.02568,10.40290,-7.29500
O,-4.30368,11.68590,-7.19500
O, 2.13742,-10.42450, 8.62500
O, 1.93152,-11.46270, 9.38500
O, 7.75332,-12.25890, 1.99500
O, 8.21332,-13.21740, 2.69500
O,-1.24628,-5.74540,13.42500
O,-0.16578,-5.09290,13.85500
O,-11.44668, 0.53420,-6.15500
O,-11.62768, 1.29420,-5.07500
O,-8.82038, 3.91600,-7.21500
O,-7.56158, 3.64570,-7.39500
O, 8.78417, 6.93870, 4.44500
O, 8.78256, 8.08890, 5.05500
O,-13.46058,-6.61680,-4.67500
O,-13.62218,-7.57110,-3.78500
O,-9.76188,-9.37080, 6.14500
O,-9.80228,-10.57240, 6.72500
O,-7.97218,-1.42560,12.89500
O,-8.00228,-2.59440,13.46500
O,10.90232, 1.74390, 9.43500
O,10.68432, 2.04570,10.74500
O,-3.57568,-13.03810, 9.95500
O,-3.53148,-12.81310,11.20500
O,13.12512, 8.42650,-0.26500
O,14.10512, 8.97130, 0.45500
O, 7.40412,-7.12280,10.62500
O, 8.09372,-6.22690,11.33500
O, 6.02432,-9.36110,-8.57500
O, 6.15532,-8.11910,-8.28500
O,-10.32028, 8.16120,10.05500
O,-10.08628, 8.53470,11.33500
O, 8.27069, 8.33890,-7.96500
O, 8.18993, 8.12990,-6.70500
O,-9.72868,-12.78695,-5.06500
O,-8.69468,-12.41983,-5.68500
O,-11.43548,-11.00550,13.15500
O,-11.07628,-11.95300,13.92500
O,-0.37153,-0.49632, 1.74413
O,-0.46373, 0.43848, 2.63413
O, 1.30537, 4.31168,-0.42587
O, 0.78037, 3.38737, 0.34413
O,-5.89528,-3.07732, 0.08413
O,-4.94734,-3.01932, 1.04413
O, 3.20137, 4.94198, 4.60413
O, 3.24237, 3.98308, 5.53413
O, 2.72377,-4.75552, 7.46413
O, 3.75707,-4.79132, 8.27413
O, 5.12877,-7.05362, 2.75413
O, 5.08407,-6.39412, 3.93413
O,-0.90703,-6.98795,-4.47587
O,-0.61853,-8.31191,-4.34587
O,-4.85223, 6.65018, 3.90413
O,-6.05743, 6.20688, 4.08413
O,-5.23663, 1.83468, 9.59413
O,-4.54263, 2.89168, 9.98413
O, 8.51707,-3.22022,-0.54587
O, 7.69727,-2.69362, 0.30413
O, 8.87137,-0.15732,11.29413
O, 9.50037,-1.25932,11.56413
O,-8.48963,-5.47942, 4.46413
O,-7.35263,-6.02392, 4.69413
O, 6.22717, 2.79208,-8.85587
O, 6.35477, 2.55035,-7.55587
O,-1.23663,-10.53992,-0.31587
O,-0.10063,-10.52312, 0.35413
O,-6.20473, 2.09317,-7.80587
O,-5.98393, 1.89195,-6.50587
O, 2.19657,-1.11422,-10.44587
O, 2.07117,-0.08512,-9.61587
O, 4.59337,-7.40233,-8.73587
O, 5.73207,-7.02840,-9.23587
O,-14.79963, 3.86968, 1.17413
O,-14.84463, 5.11768, 1.78413
O, 0.64537,12.92728, 5.67413
O, 0.54737,13.95668, 6.48413
O, 0.32547, 9.52968,-7.67587
O,-0.54553, 9.25268,-6.66587
O,-0.12863, 8.27858, 9.54413
O,-1.04363, 9.21878, 9.54413
O, 8.59207, 7.72368,-6.15587
O, 8.14757, 6.93768,-5.20587
O,-10.62717, 8.76218,-2.84587
O,-11.69664, 8.67988,-3.57587
O,-10.98663, 6.94028, 7.38413
O,-10.05463, 7.84088, 7.72413
O,-9.82403,-7.86292,-0.09587
O,-8.46023,-7.78292,-0.02587
O, 6.62738,12.54198, 0.41413
O, 6.49547,11.26828, 0.76413
