atom,x,y,z
O, 2.61835,11.96654,-4.98125
O,-11.23442, 4.77394, 5.25875
O,-11.50192, 5.84254, 2.82875
O, 5.29328,-10.11096,10.40875
O, 5.27328,-9.35796, 7.78875
O,-8.97892, 8.23984,-4.47125
O,-6.67492, 7.86944,-5.72125
O,11.50458,-9.22736,-5.44125
O,10.14488,-8.04396,-7.53125
O, 7.60908,10.22974, 9.03875
O, 5.83208, 9.58814, 7.07875
O,-5.02032, 6.93914,-10.44125
O,-3.88502, 7.89884,-12.79125
O, 8.89308, 5.19224,11.64875
O,10.17658, 4.16134, 9.56875
O,-7.15212,-7.75546,-9.97125
O,-7.32242,-7.80946,-12.67125
O, 0.19838,12.47424,-8.58125
O,-0.86562,11.82004,-10.90125
O,11.85958,-3.00786,11.26875
O,11.76468,-4.17986, 8.90875
O, 9.86848,-10.78086, 7.69875
O,10.70318,-12.17496, 5.29875
O,-9.49001, 9.07354,10.29875
O,-9.12063, 9.73354, 7.64875
O,-9.72532, 6.19807,-9.36125
O,-11.19192, 7.40274,-11.22125
O,12.80608,-12.50866, 0.40875
O,12.37608,-12.26946,-2.18125
O,-10.75162,-12.86446,-6.01125
O,-11.17182,-12.35746,-8.58125
O, 4.95868,11.70994,-10.87125
O, 6.53188,11.66234,-13.07125
O,-0.70515,-1.46174, 1.16087
O, 0.14735, 0.43126,-0.58913
O, 7.28400,-2.50204, 1.67087
O, 6.61447,-0.82404,-0.26913
O,-5.79985,-2.77304, 4.80087
O,-6.62685,-3.88534, 2.59087
O,-3.58545, 1.18956, 7.73087
O,-2.09105, 0.06046, 5.68087
O, 3.02765, 2.18526,-4.38913
O, 3.73435, 1.70526,-7.01913
O, 3.17089,-5.47324, 5.86087
O, 0.85465,-6.32564, 4.64087
O, 4.40115,-6.56574, 1.04087
O, 3.29345,-7.28944,-1.20913
O,-3.26755, 3.28096,-4.03913
O,-3.50395, 2.00356,-6.53913
O,-2.98335,-7.96345,-3.25913
O,-3.59835,-5.82324,-4.80913
O,-8.99125,-0.44004, 1.53087
O,-9.63185,-0.39524,-1.12913
O, 3.21875, 7.93826, 2.65087
O, 2.94975, 7.69026, 0.14087
O, 2.12885,-2.18534,-8.28913
O, 0.50385,-3.68855,-9.86913
O,-5.69515, 7.90586, 1.19087
O,-6.15615, 6.01726,-0.59913
O, 8.25685,-2.07994,-4.30913
O, 8.11485,-4.32094,-5.91913
O,-3.89345, 5.02826, 9.11087
O,-4.87795, 5.87026, 6.96087
O, 0.07505, 9.70419,-3.11913
O,-1.19445, 8.54625,-4.96913
O, 5.71575, 4.31626, 9.97087
O, 5.03565, 3.27426, 7.55087
O, 9.29895, 4.43886, 4.82087
O, 8.99225, 3.51266, 2.35087
O,-8.17515,-3.61564,-6.03913
O,-9.35315,-2.97124,-8.16913
O, 9.29785,-3.01834, 8.11087
O, 9.76685,-3.10514, 5.50087
O,-8.69755,-0.09694, 9.33087
O,-10.16335, 1.35516, 7.69087
O,-7.94085,-5.73745, 7.19087
O,-9.89395,-7.55130, 7.46087
O,-2.80558,-10.20394, 8.31087
O,-3.85161,-9.79924, 5.87087
O, 5.03735,-2.60374,12.63087
O, 5.01905,-1.43574,10.32087
O,-1.63095, 0.21186,-10.95913
O,-2.92165, 0.98866,-13.12913
O, 1.48415,-11.53044,-5.24913
O, 2.39755,-10.69774,-7.64913
O,-2.12175,-14.12414, 0.08087
O,-2.35185,-11.52274,-0.19913
O, 1.86845,11.05806, 7.68087
O, 0.97885, 9.93936, 5.41087
O,-7.37185, 6.11836,-7.65913
O,-9.41185, 5.18726,-8.75913
O,-12.33165, 4.22746, 1.23087
O,-12.59055, 5.08316,-1.28913
O, 8.73745, 8.14626,-3.45913
O, 8.46275, 7.70116,-6.15913
O,-11.61265,-8.46894,-0.76913
O,-12.04345,-7.28874,-3.11913
O, 3.32645, 9.56516,-8.01913
O, 5.23425, 8.39296,-9.68913
O, 7.83885,12.76746, 0.61087
O, 8.79685,11.97246,-1.69913
O,10.70575, 3.76216,-6.69913
O,10.90355, 2.16476,-8.80913
O,10.31145,-10.65995, 4.70087
O,11.15455,-9.24110, 2.51087
O, 5.07965,-7.77974,-10.21913
O, 5.87125,-7.72774,-12.87913
O,-3.40075,-8.77734,-10.88913
O,-2.28545,-8.03334,-13.17913
O,-9.67585,-12.26274,-2.69913
O,-8.54645,-12.59224,-4.99913
O, 8.20185,-11.74255, 9.19087
O, 6.06385,-12.52357, 7.83087
O, 1.56185,10.43426,12.54087
O, 0.38385, 8.61296,11.11087
O,-4.21745, 9.64566,-8.87913
O,-5.30995,10.33926,-11.23913
O,-9.72895,-9.05074,-7.45913
O,-9.05625,-9.57574,-9.85913
O,11.54465, 4.58126,11.49087
O, 9.50925, 4.96546, 9.98087
O,11.30075, 9.58926, 6.90087
O,12.73733, 9.54026, 4.76087
O,11.58595,-1.83814,-10.66913
O,12.43105,-1.90604,-13.09913
O,-11.81415, 9.56406,11.21087
O,-9.31055, 9.60716,10.16087
O,11.00685,-12.70884,-10.54913
O,10.18285,-10.77614,-11.97913
O, 0.75430, 1.22484, 1.29463
O,-0.39900,-0.39426,-0.62537
O,-0.94860,-2.01796, 5.08463
O,-1.98110,-2.02656, 2.64463
O, 1.75020,-4.76256,-2.79537
O, 1.24240,-6.44516,-4.85537
O, 2.96970,-1.27006,-5.34537
O, 4.42740,-0.83706,-7.40537
O, 5.26993,-3.84036, 4.33463
O, 3.69006,-5.99306, 3.27463
O, 0.25850, 6.04324,-5.80537
O,-1.04080, 3.76614,-5.48537
O,-3.68270, 7.56550, 0.69463
O,-1.41660, 8.26944,-0.37537
O, 9.65650, 2.27334, 0.35463
O, 7.28360, 2.46364,-0.73537
O, 3.15290, 0.76034, 9.90463
O, 3.29950,-0.96866, 7.80463
O, 4.34640, 5.90904, 8.00463
O, 4.89840, 6.55164, 5.34463
O,-6.36510, 2.42754, 7.18463
O,-6.59070, 1.84894, 4.68463
O,-6.97980,-3.78796,-1.40537
O,-6.03160,-4.35436,-3.68537
O,10.16700,-2.26566, 4.28463
O, 9.85810,-1.83336, 1.61463
O, 7.63680, 6.42370,-1.39537
O, 7.82780, 7.78454,-3.54537
O,-3.69060, 7.10664, 7.41463
O,-3.88560, 7.65874, 4.74463
O, 8.64430,-5.33339,-0.22537
O, 9.51980,-6.48115,-2.35537
O,-10.66760,-1.13166, 0.64463
O,-9.23160,-0.18866,-1.56537
O, 8.41360, 3.64214,-5.35537
O, 9.03440, 3.38924,-8.03537
O,-5.02960,-0.88090,12.04463
O,-4.81260,-0.78824, 9.26463
O, 6.03297, 5.07824,11.42463
O, 6.55153, 3.44924, 9.26463
O,-9.45681,-2.13006, 7.30463
O,-10.99900,-3.22806, 5.52463
O,-2.81460, 3.55764,-10.07537
O,-2.39860, 1.64394,-11.62537
O,-9.05460, 4.73204,-6.93537
O,-6.87560, 4.78634,-8.44537
O, 6.23560,10.89094,-2.26537
O, 5.11020,12.87594,-3.57537
O,-0.05720,-12.92496, 4.52463
O,-0.29280,-11.23376, 2.42463
O, 1.03780, 9.52964, 9.75463
O, 1.94960,11.23964, 7.95463
O,-5.82290,-10.89536, 3.58463
O,-5.31180,-10.00826, 1.06463
O,-5.13940,-6.28646,-8.57537
O,-3.99690,-5.04646,-10.57537
O,-10.88897, 7.31984, 0.77463
O,-9.16180, 6.80974,-1.33537
O,-3.29650,-13.16796,-3.65537
O,-2.15350,-12.25906,-5.85537
O, 2.49140, 9.99254,-8.62537
O, 2.84340, 8.11404,-10.29537
O, 8.47640,-3.68696,-8.14537
O, 8.62140,-5.24066,-10.33537
O, 4.30440,13.17954, 5.33463
O, 5.76340,12.13624, 3.32463
O, 2.69220,-9.47906,11.61463
O, 2.37000,-7.05606,10.18463
O,-5.21530,-8.56266, 9.68463
O,-6.01760,-8.64366, 7.16463
O,13.48688, 6.88114, 5.71463
O,12.10820, 6.23094, 3.49463
O,-10.99740,-0.52916,-8.20537
O,-10.58990,-0.14846,-10.89537
O, 7.80060,-9.69786,-7.19537
O, 6.50590,-10.30076,-9.50537
O,-8.64730,-9.63206,-2.63537
O,-9.88160,-9.15206,-5.01537
O,-11.06840,-0.63306,10.51463
O,-13.25480, 0.59394, 9.73463
O,-0.87070, 9.62634,-10.39537
O,-1.90810,11.65634,-12.11537
O,-8.36550, 8.53694,10.85463
O,-9.48140, 8.87794, 8.30463
O,-9.81120,-13.31906, 3.73463
O,-11.40070,-11.91706, 2.02463
O,-8.86260,11.70984,-5.07537
O,-10.05260, 9.92354,-6.98537
O,10.51650,-8.67506,10.75463
O,10.07610,-7.17706, 8.46463
O, 8.77710,10.48164,-10.63537
O, 9.82450, 8.50094,-12.00537
O,-9.15170,-9.27106,-9.51537
O,-8.57570,-8.71246,-12.11537
O,10.39520,-12.43026,12.07463
O,10.96340,-12.66986, 9.48463
O, 0.56210, 1.45907, 1.28144
O, 0.03080,-0.65553,-0.47856
O, 2.06120, 1.83667,-3.79856
O, 0.28120, 3.06697,-5.39856
O, 0.99840,-0.33723, 7.05144
O, 1.01430, 1.04197, 4.90144
O,-3.43800,-2.20433,-3.22856
O,-4.64360,-3.36933,-5.26856
O,-7.43030,-0.15053, 0.37144
O,-8.40300, 0.79917,-1.77856
O, 2.30010,-5.01113,-3.13856
O, 2.99800,-5.50113,-5.70856
O,-1.47530,-3.92923, 8.02144
O,-1.71150,-4.13283, 5.51144
O,-7.34670, 3.27387, 6.31144
O,-7.71420, 2.24787, 3.78144
O, 4.46290, 8.61037, 1.25144
O, 2.37580, 7.88707,-0.41856
O, 1.12730,-8.53613, 2.91144
O, 1.29590,-8.49693,-0.01856
O,-8.74632,-4.14743, 3.39144
O,-8.55503,-5.47213, 1.20144
O,10.47120,-0.94593, 1.09144
O, 8.81260,-1.30333,-0.93856
O, 9.34420, 2.61547,-0.98856
O, 8.54120, 3.51977,-3.20856
O, 8.22730,-0.49833,-4.83856
O, 8.22130,-0.54353,-7.52856
O, 7.34260, 5.84217, 6.55144
O, 6.27790, 6.74407, 4.33144
O,-3.81280,-1.82073,-8.64856
O,-2.10580,-0.16823,-9.71856
O,-1.04580,11.29907, 5.98144
O,-2.66180, 9.26837, 5.25144
O,-9.28080, 7.63616,-2.02856
O,-8.08680, 6.39511,-4.10856
O, 7.09870,-4.67223, 6.21144
O, 6.56970,-7.14973, 5.40144
